RFd1mm.d50mm_6120014,RFd1mm.d50mm_5920012,RFd1mm.d50mm_5921009,RFd1mm.d50mm_6021010,RFd1mm.d50mm_6021013,RFd1mm.d50mm_6023001,RFd1mm.d50mm_5922001,RFd1mm.d50mm_6121015,RFd1mm.d50mm_6022001,RFd1mm.d50mm_KB48615,RFd1mm.d50mm_6022062,RFd1mm.d50mm_6121067,RFd1mm.d50mm_6021060,TNd23.d34_GK48617,RFd1mm.d50mm_6122064,RFd1mm.d50mm_6121001,TNd23.d34_KB48615,TXd23.d34_GK48617,TXd23.d34_KB48615,WLdDanger_6019411,SFdFlood_6019411,SFdFlood_5721442,WLdDanger_5721442,Cases
0,0.666666667,0.428571429,0.714285714,0.142857143,0.142857143,0,0.285714286,0.714285714,0.285714286,0.285714286,0.285714286,0.571428571,0.714285714,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0,0.5,0.857142857,0.714285714,0.142857143,0.142857143,0.571428571,0.142857143,0.428571429,0.285714286,0.285714286,0,0.285714286,0.857142857,0,0,1,1,1,1,1,1,1,Low
0,0.666666667,0,0.285714286,0.142857143,0.857142857,0.285714286,0.285714286,0.285714286,0.428571429,0.285714286,0.428571429,0.428571429,0.571428571,0.285714286,0.571428571,0.857142857,1,1,1,1,1,1,Low
0.285714286,0.5,0.285714286,0.142857143,0.714285714,0.142857143,0.142857143,0.285714286,0.428571429,0.142857143,0.142857143,0.285714286,0.428571429,0.428571429,0.285714286,0.571428571,0.714285714,1,1,1,1,1,1,Low
0,1,0.428571429,0.571428571,0.714285714,0.571428571,0.285714286,0.714285714,0.142857143,0.571428571,0.714285714,0.571428571,0.714285714,0.714285714,0.714285714,0.571428571,1,1,1,1,1,1,1,Low
0.142857143,0,0.857142857,0.428571429,0.285714286,0.285714286,0.142857143,0.285714286,0.142857143,0.428571429,0.428571429,0.428571429,0.428571429,0.857142857,0.285714286,0.428571429,0.571428571,1,1,1,1,1,1,Low
0,0.333333333,0.428571429,0.714285714,0.142857143,0.285714286,0.571428571,0.714285714,0.857142857,0.571428571,0.857142857,0.714285714,0.857142857,0.714285714,0.571428571,0.428571429,1,1,1,1,1,1,1,Low
0,0.333333333,0.571428571,0.428571429,0.285714286,0.714285714,0.142857143,0.142857143,0.142857143,0.142857143,0.428571429,0.142857143,0.285714286,0.571428571,0.142857143,0.142857143,1,1,1,1,1,1,1,Low
0.142857143,0.833333333,1,0.857142857,0.285714286,0.714285714,0.285714286,0.571428571,0.571428571,0.428571429,0.428571429,0.428571429,0.428571429,0.714285714,0.428571429,0.428571429,0.857142857,1,1,1,1,1,1,Low
0,0.833333333,0.571428571,0.142857143,0.571428571,0.285714286,0.571428571,0.428571429,0.285714286,0.571428571,0.714285714,0.571428571,0.285714286,0.571428571,0.571428571,0.714285714,1,1,1,1,1,1,1,Low
0.428571429,0.666666667,0.285714286,0.428571429,0.428571429,0.857142857,0.285714286,0.857142857,0.285714286,0.857142857,0.714285714,0.571428571,0.857142857,0.571428571,0.571428571,0.714285714,0.714285714,1,1,1,1,1,1,Low
0.142857143,0.833333333,0.714285714,0.285714286,0.714285714,0.857142857,0.285714286,0.714285714,0.571428571,0.571428571,0.571428571,0.714285714,0.428571429,1,0.571428571,0.857142857,1,1,1,1,1,1,1,Low
0.142857143,0.833333333,0.571428571,1,0,0.857142857,0.285714286,0.571428571,0.857142857,0.714285714,0.714285714,0.571428571,0.571428571,0.714285714,0.714285714,0.571428571,1,1,1,1,1,1,1,Low
0,0.333333333,0.571428571,0.428571429,0.428571429,0.714285714,0.428571429,0.857142857,0.428571429,0.714285714,0.857142857,0.857142857,0.857142857,0.571428571,0.857142857,0.857142857,1,1,1,1,1,1,1,Low
0,0.833333333,0.571428571,0.428571429,0.714285714,0.428571429,0,0.571428571,0.857142857,0.714285714,0.714285714,0.571428571,0.714285714,0,0.714285714,0.285714286,1,1,1,1,1,1,1,Low
0,0.666666667,0.714285714,0.857142857,0.571428571,0.571428571,0,0.428571429,0.857142857,0.571428571,0.571428571,0.428571429,0.571428571,0.571428571,0.428571429,0.428571429,0.714285714,1,1,1,1,1,1,Low
0,0.666666667,0.857142857,0.714285714,0.571428571,0.571428571,0,0.428571429,0.857142857,0.428571429,0.571428571,0.428571429,0.571428571,0.428571429,0.571428571,0.428571429,0.714285714,1,1,1,1,1,1,Low
0,0.333333333,0.571428571,0.571428571,0.857142857,0.285714286,0,0.571428571,0.714285714,0.428571429,0.571428571,0.571428571,0.571428571,0.714285714,0.571428571,0.571428571,1,1,1,1,1,1,1,Low
0,1,0.428571429,0.571428571,1,0.571428571,0,0.571428571,0.571428571,0.428571429,0.571428571,0.285714286,0.428571429,0.428571429,0.571428571,0.428571429,1,1,1,1,1,1,1,Low
0.428571429,0.833333333,1,0.428571429,0.428571429,0.714285714,0.571428571,0.285714286,0.571428571,0.285714286,0.428571429,0.285714286,0.285714286,0.428571429,0.428571429,0.142857143,0.857142857,1,1,1,1,1,1,Low
0.142857143,0.833333333,0.571428571,0.714285714,0.428571429,0.571428571,0.714285714,0.428571429,0.571428571,0.714285714,0.428571429,0.428571429,0.571428571,0.571428571,0.428571429,0.571428571,0.571428571,1,1,1,1,1,1,Low
0,0.333333333,0.142857143,0.142857143,0.428571429,0.142857143,0.285714286,1,0.285714286,0.428571429,1,1,1,0.571428571,0.714285714,1,0.857142857,1,1,1,1,1,1,Low
0.142857143,1,0.714285714,0.571428571,0.428571429,0.857142857,0.428571429,0.428571429,0.714285714,0.714285714,0.714285714,0.428571429,0.571428571,0.714285714,0.571428571,0.571428571,0.714285714,1,1,1,1,1,1,Low
0.571428571,0.666666667,0.142857143,0.857142857,0.428571429,0.285714286,0.285714286,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,0.714285714,0.142857143,0.142857143,0.857142857,1,1,1,1,1,1,Low
0,0,0.142857143,0.428571429,0.428571429,0.428571429,0.571428571,1,0.571428571,0.571428571,1,1,1,0.571428571,1,0.857142857,0.571428571,1,1,1,1,1,1,Low
0,0.833333333,0,0.285714286,0.571428571,0.285714286,0.428571429,0.571428571,0.428571429,0.714285714,0.428571429,0.285714286,0.285714286,0.714285714,0.714285714,0.571428571,0.571428571,1,1,1,1,1,1,Low
0,0.166666667,0.428571429,0.857142857,1,0.428571429,0.428571429,0.142857143,0.714285714,0.428571429,0.142857143,0,0.142857143,0.571428571,0,0.285714286,1,1,1,1,1,1,1,Low
0.428571429,0.166666667,0.285714286,0.428571429,0.428571429,0,0.428571429,0.714285714,0.428571429,0.285714286,0.714285714,0.428571429,0.571428571,0.428571429,0.428571429,0.714285714,0.714285714,1,1,1,1,1,1,Low
0,0,0.285714286,0,0.285714286,0,0.285714286,0,0.428571429,0.285714286,0,0,0,0.714285714,0,0,0.428571429,1,1,1,1,1,1,Low
0.285714286,0.333333333,0.285714286,0.857142857,1,0.285714286,0.428571429,0.142857143,0.428571429,0,0.142857143,0.142857143,0,0.714285714,0,0.142857143,1,1,1,1,1,1,1,Low
0.714285714,0.166666667,0.285714286,0.142857143,0.571428571,0.428571429,0.571428571,0,0.142857143,0,0,0.142857143,0,0.428571429,0,0,0.857142857,1,1,1,1,1,1,High
0.714285714,0.5,0,0.142857143,0.142857143,0.142857143,0.857142857,0.571428571,0,0.571428571,0.285714286,0.285714286,0.285714286,0.857142857,0.285714286,0.142857143,0.571428571,0.857142857,1,0.285714286,1,1,1,Low
0.285714286,0.166666667,0.285714286,0,0.571428571,0.285714286,0.571428571,0.571428571,0,0.428571429,0.142857143,0.142857143,0.285714286,0.428571429,0.428571429,0.428571429,1,1,1,0.571428571,0.428571429,1,0.833333333,Low
0.571428571,0.333333333,0.571428571,0.428571429,0,0.142857143,0.428571429,0.285714286,0.714285714,0.285714286,0.285714286,0.285714286,0.285714286,0.857142857,0.285714286,0.285714286,0.571428571,0.857142857,0.857142857,0.857142857,0.714285714,1,1,Low
0.285714286,0.166666667,0.571428571,0.285714286,0.142857143,0.285714286,0.714285714,0,0.285714286,0.285714286,0,0,0,0.714285714,0.142857143,0,0.857142857,1,1,1,1,1,1,Low
0.428571429,0.166666667,0.428571429,0.285714286,0,0.142857143,0.285714286,0,0,0,0.142857143,0.142857143,0.142857143,0.571428571,0.142857143,0.142857143,1,0.857142857,0.714285714,1,1,1,1,Low
0.285714286,0.5,0.571428571,0.285714286,0.285714286,0.285714286,0.285714286,0.142857143,0.142857143,0.571428571,0.142857143,0.285714286,0.142857143,1,0.285714286,0.142857143,0.857142857,1,1,1,1,1,1,Low
0,1,0.285714286,0.285714286,0.285714286,0.142857143,0.285714286,0.285714286,0,0.285714286,0.428571429,0.285714286,0.285714286,1,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0.142857143,0.666666667,0.428571429,0.428571429,0.285714286,0.285714286,0.428571429,0.142857143,0.285714286,0.142857143,0.285714286,0.142857143,0.285714286,1,0.285714286,0,1,1,1,1,1,1,1,Low
0.142857143,0.333333333,0.571428571,0.142857143,0,0.142857143,0.571428571,0.428571429,0.285714286,0.714285714,0.285714286,0.571428571,0.142857143,1,0.285714286,0.428571429,1,0.714285714,1,1,1,1,1,Low
0,0.166666667,0.428571429,0.428571429,0.142857143,0.285714286,0.571428571,0.285714286,0.285714286,0.142857143,0.285714286,0,0.142857143,0.714285714,0.285714286,0.285714286,0.857142857,1,1,0.428571429,1,1,1,Low
0.285714286,0.666666667,0.142857143,0.714285714,0.285714286,0.285714286,0.428571429,0.428571429,0.714285714,0.285714286,0.428571429,0.428571429,0.428571429,0.571428571,0.285714286,0.428571429,1,0.857142857,1,1,0.571428571,0.8,0.666666667,Low
0,0.666666667,0.142857143,0.571428571,0.285714286,0.571428571,0.428571429,0.285714286,0.285714286,0,0.142857143,0.142857143,0.142857143,1,0,0.285714286,1,1,1,1,1,1,1,Low
0,0.5,0.428571429,0.571428571,0.428571429,0.571428571,0.428571429,0.285714286,0.428571429,0.428571429,0.285714286,0.428571429,0.428571429,1,0.142857143,0.285714286,1,1,1,1,1,1,1,Low
0,0.333333333,0.285714286,0.142857143,0.428571429,0.142857143,0.571428571,0.428571429,0.142857143,0.428571429,0.285714286,0.428571429,0.571428571,0.571428571,0.571428571,0.571428571,1,1,1,1,1,1,1,Low
0,0.166666667,0.714285714,0.428571429,0.285714286,0.142857143,0.428571429,0.142857143,0.428571429,0.428571429,0.285714286,0.285714286,0.285714286,1,0.285714286,0.142857143,0.857142857,1,1,1,1,1,1,Low
0,0.5,0.428571429,0.428571429,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0.142857143,0,0.285714286,1,0.285714286,0.142857143,1,1,1,1,1,1,1,Low
0,0.666666667,0.428571429,0.285714286,0.142857143,0.428571429,0.571428571,0.285714286,0.428571429,0.285714286,0.142857143,0.142857143,0.142857143,1,0.142857143,0.142857143,1,1,1,1,1,1,1,Low
0,0.666666667,0.142857143,0.285714286,0.428571429,0.714285714,0,0.142857143,0,0.142857143,0,0.285714286,0.285714286,0.857142857,0,0,0.857142857,1,1,1,1,1,1,Low
0,0.333333333,0.571428571,0.142857143,0.571428571,0.142857143,0.428571429,0.428571429,0.142857143,0.428571429,0.428571429,0.714285714,0.428571429,1,0.571428571,0.571428571,0.857142857,1,1,1,1,1,1,Low
0,0.5,0.428571429,0.428571429,0.428571429,0.285714286,0,0.428571429,0.142857143,0.428571429,0.571428571,0.428571429,0.714285714,1,0.571428571,0.571428571,1,1,1,1,1,1,1,Low
0,0.166666667,0.428571429,0.285714286,0.142857143,0.285714286,0.714285714,0.285714286,0.285714286,0.285714286,0.142857143,0.142857143,0,0.714285714,0.428571429,0.428571429,0.857142857,1,1,1,1,1,1,Low
0,0.5,0.285714286,0.714285714,0.142857143,0.428571429,0.142857143,0.285714286,0.714285714,0.428571429,0.571428571,0.285714286,0.428571429,0.857142857,0.428571429,0.285714286,0.857142857,1,1,1,1,1,1,Low
0.285714286,0.5,0.428571429,0.428571429,0.142857143,0.142857143,0.571428571,0.142857143,0.285714286,0.142857143,0.142857143,0,0.285714286,0.714285714,0.142857143,0,0.714285714,1,1,1,1,1,1,Low
0.285714286,0.333333333,0.571428571,0.285714286,0.428571429,0.285714286,0.285714286,0.428571429,0.285714286,0.428571429,0.428571429,0.285714286,0.428571429,1,0.428571429,0.142857143,0.714285714,1,1,1,1,1,1,Low
0.571428571,0.333333333,0.714285714,0.285714286,0.571428571,0.428571429,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.428571429,0.285714286,1,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0,0.5,0.714285714,0.285714286,0.571428571,0.285714286,0,0.428571429,0.571428571,0.285714286,0.571428571,0.571428571,0.428571429,0.857142857,0.428571429,0.428571429,1,1,1,1,1,1,1,Low
0.285714286,0.666666667,0.571428571,0.285714286,0.285714286,0.571428571,0,0,0,0.142857143,0.285714286,0.285714286,0.142857143,1,0.142857143,0.142857143,1,1,1,1,1,1,1,Low
0.142857143,0.833333333,0.142857143,0.428571429,0.285714286,0.857142857,0,0.285714286,0.571428571,0.285714286,0.428571429,0.428571429,0.285714286,0.857142857,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0.142857143,0.666666667,0.714285714,0.285714286,0.285714286,0.571428571,0.571428571,0.428571429,0.428571429,0.571428571,0.428571429,0.285714286,0.428571429,1,0.428571429,0.428571429,0.714285714,1,1,1,1,1,1,Low
0.285714286,0.666666667,0.285714286,0.428571429,0.142857143,0.428571429,0.285714286,0.714285714,0.571428571,0.714285714,0.857142857,0.571428571,0.857142857,0.857142857,0.857142857,0.714285714,1,1,1,1,1,1,1,Low
0,0.166666667,0.142857143,0.428571429,0.428571429,0.142857143,0,0.714285714,1,0.714285714,0.571428571,0.428571429,0.571428571,0.571428571,0.571428571,0.714285714,0.857142857,1,1,1,1,1,1,Low
0.142857143,0.666666667,0.428571429,0.714285714,0.285714286,0.428571429,0.285714286,0.571428571,1,0.428571429,0.428571429,0.428571429,0.428571429,0.857142857,0.285714286,0.428571429,0.571428571,1,1,1,1,1,1,Low
0.285714286,0.333333333,0,0.714285714,0.285714286,0.285714286,0.285714286,0.428571429,0.857142857,0.285714286,0.428571429,0.428571429,0.285714286,0.857142857,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0.428571429,0.166666667,0.285714286,0.428571429,0.428571429,0.285714286,0.285714286,0.428571429,0.428571429,0.714285714,0.857142857,0.714285714,0.571428571,1,0.428571429,0.428571429,1,1,1,1,1,1,1,Low
0.142857143,0.666666667,0.142857143,0.142857143,0.857142857,0.428571429,0.142857143,0.428571429,0.571428571,0.428571429,0.428571429,0.571428571,0.285714286,1,0.571428571,0.428571429,0.857142857,1,1,1,1,1,1,Low
0.285714286,0.166666667,0,0.428571429,0.714285714,0.428571429,0.142857143,0.285714286,0.571428571,0.571428571,0.285714286,0.142857143,0.142857143,0.714285714,0.142857143,0.285714286,0.714285714,1,1,1,1,1,1,Low
0,0.333333333,0.571428571,0.285714286,0.571428571,0.428571429,0.428571429,0.571428571,0.142857143,1,0.285714286,0.714285714,0.428571429,1,0.571428571,0.285714286,1,1,1,1,1,1,1,Low
0,0,0.571428571,0.142857143,0.428571429,0.571428571,0.428571429,0.285714286,0.428571429,0.285714286,0.142857143,0.285714286,0,1,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0,0.333333333,0.428571429,0.428571429,0.428571429,0,0,0.428571429,0.285714286,0.571428571,0.571428571,0.285714286,0.571428571,0.857142857,0.571428571,0.428571429,1,1,1,1,1,1,1,Low
0,1,0.571428571,0,0.428571429,0.142857143,0.285714286,0.428571429,0.285714286,1,0.142857143,0.571428571,0.142857143,1,0.285714286,0.428571429,0.714285714,1,1,1,1,1,1,Low
0.142857143,0.833333333,0.142857143,0.285714286,0.142857143,0.428571429,0.285714286,0.285714286,0.428571429,0,0.142857143,0.142857143,0.142857143,1,0.142857143,0.142857143,1,1,1,1,1,1,1,Low
0,0.333333333,0.285714286,0.142857143,0.571428571,0.571428571,0.285714286,0.571428571,0,0.142857143,0.428571429,0.428571429,0.428571429,1,0.428571429,0.571428571,1,1,1,1,1,1,1,Low
0.142857143,0.666666667,0.142857143,0.428571429,0.428571429,0.428571429,0.142857143,0.428571429,0.285714286,0.285714286,0.714285714,0.285714286,0.714285714,1,0.428571429,0.428571429,1,1,1,1,1,1,1,Low
0.142857143,0.333333333,0.142857143,0.428571429,0.285714286,0.142857143,0.285714286,0.428571429,0.714285714,0.714285714,0.428571429,0.428571429,0.428571429,1,0.428571429,0.428571429,1,1,1,1,1,1,1,Low
0,0.333333333,0.142857143,0.571428571,0.142857143,0.428571429,0.428571429,0.571428571,0.571428571,0.428571429,0.571428571,0.571428571,0.571428571,1,0.571428571,0.571428571,1,1,1,1,1,1,1,Low
0.428571429,0.333333333,0.714285714,0.285714286,0.285714286,0.285714286,0.428571429,0.285714286,0.571428571,0.285714286,0.142857143,0.142857143,0.142857143,1,0.142857143,0.142857143,1,1,1,1,1,1,1,Low
0.571428571,0,0,0.571428571,0.571428571,0.285714286,0.571428571,0.285714286,0.428571429,0.428571429,0.285714286,0.285714286,0.285714286,0.714285714,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0.285714286,0.166666667,0.285714286,0.285714286,0.571428571,0,0.142857143,0.285714286,0.142857143,0.285714286,0.428571429,0.285714286,0,0.714285714,0.285714286,0.285714286,0.714285714,1,1,1,1,1,1,Low
0.285714286,0.833333333,0.428571429,0.285714286,0.428571429,0.285714286,0.285714286,0.285714286,0.571428571,0,0.285714286,0.142857143,0.285714286,0.571428571,0.142857143,0.285714286,0.857142857,1,1,1,1,1,1,Low
0.428571429,0.166666667,0.142857143,0.285714286,0.571428571,0.142857143,0.285714286,0.142857143,0.285714286,0,0.285714286,0.142857143,0.285714286,1,0,0,0.571428571,0.857142857,0.857142857,0.428571429,1,1,1,Low
0.428571429,0.333333333,0,0,0.428571429,0.428571429,0.571428571,0.285714286,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.142857143,0.285714286,0.857142857,0.714285714,1,1,0.571428571,1,0.666666667,High
0.142857143,0.5,0,0.142857143,0.285714286,0.285714286,0.142857143,0.142857143,0,0.285714286,0.285714286,0.142857143,0.142857143,0.571428571,0.142857143,0.142857143,0.857142857,1,1,1,1,1,1,Low
0.714285714,0.166666667,0,0.714285714,0.285714286,0.142857143,0.428571429,0.428571429,0.285714286,0.428571429,0.428571429,0.428571429,0.428571429,0.571428571,0.571428571,0.571428571,0.714285714,0.857142857,1,1,1,1,1,Low
0.142857143,0,0.571428571,0.142857143,0.142857143,0,0.571428571,0.285714286,0.142857143,0.142857143,0.428571429,0.142857143,0.285714286,0.857142857,0.285714286,0.285714286,0.714285714,1,1,1,1,1,1,Low
0.571428571,0,0.571428571,0.285714286,0.142857143,0,0.428571429,0.285714286,0.285714286,0.285714286,0.142857143,0.285714286,0.142857143,1,0.285714286,0.142857143,0.857142857,0.857142857,1,1,1,1,1,Low
0.571428571,0.166666667,0.285714286,0.428571429,0.285714286,0.285714286,0.714285714,0,0.285714286,0,0,0,0,0.571428571,0,0,1,0.285714286,0.857142857,0.428571429,0.857142857,1,1,High
0.142857143,0.5,0.428571429,0.142857143,0.285714286,0.714285714,0.857142857,0,0.285714286,0,0,0,0,0.571428571,0,0,0.714285714,0.571428571,1,1,0.714285714,1,1,Low
0,0.666666667,0.571428571,0,0.428571429,0.285714286,0.285714286,0,0,0.142857143,0,0,0,1,0.142857143,0,0.714285714,0.714285714,0.857142857,1,1,1,1,Low
0,0.833333333,0.285714286,0,0.285714286,0,0.714285714,0.857142857,0,0.428571429,0.428571429,0.571428571,0.571428571,0.857142857,0.428571429,0.571428571,1,0.857142857,1,1,1,1,1,Low
0,0.5,0.142857143,0,0.285714286,0.142857143,0.571428571,0.428571429,0,0.428571429,0.428571429,0.428571429,0.428571429,0.714285714,0.428571429,0.428571429,0.714285714,0.714285714,1,1,1,1,1,High
0,0.5,0.285714286,0.571428571,0,0.428571429,0.571428571,0.142857143,0.571428571,0,0.142857143,0,0.142857143,1,0,0.142857143,0.714285714,1,1,1,1,1,1,High
0,0.5,0.428571429,0.571428571,0,0.428571429,0.571428571,0.428571429,0.285714286,0.428571429,0.142857143,0.142857143,0,1,0.142857143,0.142857143,1,0.714285714,1,1,1,1,1,High
0,0.166666667,0.285714286,0.142857143,0.142857143,0.142857143,0.428571429,0.285714286,0.142857143,0.714285714,0.285714286,0.142857143,0.428571429,1,0.285714286,0.285714286,1,0.714285714,1,1,1,1,1,High
0,0.333333333,0,0.714285714,0.714285714,0.142857143,0.142857143,0.285714286,0.142857143,0.285714286,0.285714286,0.285714286,0.142857143,1,0.285714286,0.142857143,1,0.857142857,1,1,1,1,1,Low
0.142857143,0.5,0.285714286,0.428571429,0.428571429,0.571428571,0.571428571,0.285714286,0.428571429,0.285714286,0,0.142857143,0.142857143,1,0.142857143,0.142857143,1,1,1,1,1,1,1,Low
0,0.333333333,0.285714286,0.428571429,0.285714286,0.142857143,0.571428571,0.142857143,0.285714286,0.285714286,0.142857143,0.285714286,0.285714286,1,0.142857143,0.285714286,1,1,1,1,1,1,1,High
0.285714286,0,0.571428571,0.142857143,0.285714286,0.142857143,0.857142857,0.571428571,0,0.571428571,0.571428571,0.714285714,0.428571429,1,0.571428571,0.571428571,1,1,1,1,1,1,1,High
0,0.833333333,0.285714286,0.285714286,0.285714286,0.428571429,0.571428571,0.285714286,0.285714286,0.142857143,0.285714286,0.428571429,0.428571429,0.857142857,0.142857143,0.285714286,1,1,1,1,1,1,1,High
0.142857143,0.333333333,0.285714286,0.428571429,0.428571429,0.142857143,0.285714286,0.142857143,0.428571429,0.142857143,0,0.285714286,0,1,0.142857143,0.142857143,1,1,1,1,1,1,1,Low
0,0.5,0.428571429,0.285714286,0.285714286,0.428571429,0,0.285714286,0.428571429,0.142857143,0.428571429,0.285714286,0.285714286,0.857142857,0.571428571,0.285714286,1,1,1,1,1,1,1,Low
0.142857143,0.5,0.857142857,0,0.142857143,0.285714286,0.142857143,0.285714286,0.142857143,0.428571429,0.285714286,0.428571429,0.428571429,1,0.285714286,0.285714286,1,1,1,1,1,1,1,Low
0,0.5,0.571428571,0.571428571,0.571428571,0.142857143,0,0.571428571,0.428571429,0.285714286,0.571428571,0.142857143,0.428571429,1,0.571428571,0.142857143,1,1,1,1,1,1,1,Low
